Cod.;Espacio Academico;Dia;Hora;Sede;Edificio;Salon;Docente;Grupo;Proyecto curricular;Facultad
1;CALCULO DIFERENCIAL;MARTES;06:00 - 07:00;EDIFICIO CRISANTO LUQUE;EDIFICIO CRISANTO LUQUE;AULA 809;ALGARIN  MEZA NELSON JORGE;025-61;INGENIERIA CATASTRAL Y GEODESIA;Ingenieria
1;CALCULO DIFERENCIAL;MARTES;07:00 - 08:00;EDIFICIO CRISANTO LUQUE;EDIFICIO CRISANTO LUQUE;AULA 809;ALGARIN  MEZA NELSON JORGE;025-61;INGENIERIA CATASTRAL Y GEODESIA;Ingenieria
1;CALCULO DIFERENCIAL;JUEVES;06:00 - 07:00;EDIFICIO CRISANTO LUQUE;EDIFICIO CRISANTO LUQUE;AULA DE CLASE 904;ALGARIN  MEZA NELSON JORGE;025-61;INGENIERIA CATASTRAL Y GEODESIA;Ingenieria
1;CALCULO DIFERENCIAL;JUEVES;07:00 - 08:00;EDIFICIO CRISANTO LUQUE;EDIFICIO CRISANTO LUQUE;AULA DE CLASE 904;ALGARIN  MEZA NELSON JORGE;025-61;INGENIERIA CATASTRAL Y GEODESIA;Ingenieria
1;CALCULO DIFERENCIAL;SABADO;10:00 - 11:00;EDIFICIO CRISANTO LUQUE;EDIFICIO CRISANTO LUQUE;AULA 809;ALGARIN  MEZA NELSON JORGE;025-61;INGENIERIA CATASTRAL Y GEODESIA;Ingenieria
1;CALCULO DIFERENCIAL;SABADO;11:00 - 12:00;EDIFICIO CRISANTO LUQUE;EDIFICIO CRISANTO LUQUE;AULA 809;ALGARIN  MEZA NELSON JORGE;025-61;INGENIERIA CATASTRAL Y GEODESIA;Ingenieria
1;CALCULO DIFERENCIAL;LUNES;14:00 - 15:00;CALLE 40;SABIO CALDAS;AULA 301;GARCIA SANTAMARIA RAMON FERNANDO;025-62;INGENIERIA CATASTRAL Y GEODESIA;Ingenieria
1;CALCULO DIFERENCIAL;LUNES;15:00 - 16:00;CALLE 40;SABIO CALDAS;AULA 301;GARCIA SANTAMARIA RAMON FERNANDO;025-62;INGENIERIA CATASTRAL Y GEODESIA;Ingenieria
1;CALCULO DIFERENCIAL;MIERCOLES;14:00 - 15:00;EDIFICIO CRISANTO LUQUE;EDIFICIO CRISANTO LUQUE;AULA 804;GARCIA SANTAMARIA RAMON FERNANDO;025-62;INGENIERIA CATASTRAL Y GEODESIA;Ingenieria
1;CALCULO DIFERENCIAL;MIERCOLES;15:00 - 16:00;EDIFICIO CRISANTO LUQUE;EDIFICIO CRISANTO LUQUE;AULA 804;GARCIA SANTAMARIA RAMON FERNANDO;025-62;INGENIERIA CATASTRAL Y GEODESIA;Ingenieria
